BC ID	MUT ID	STRAIN	ENV	DAY	T0	T1	T2	T3	T4
29626	921	DivAnc	SC3	1	428	2067	1223	1338	1791
29681	601	DivAnc	SC3	1	142	745	534	758	866
29764	809	DivAnc	SC3	1	356	1765	777	954	1087
29778	766	DivAnc	SC3	1	332	1340	928	1364	1503
29999	853	DivAnc	SC3	1	128	774	304	433	394
30183	190	DivAnc	SC3	1	22	41	3	3	0
30287	423	DivAnc	SC3	1	437	2555	1452	2250	2544
30319	677	DivAnc	SC3	1	1	0	0	0	9
30341	248	DivAnc	SC3	1	147	758	269	502	426
30414	302	DivAnc	SC3	1	3	1	1	2	0
30477	819	DivAnc	SC3	1	143	894	460	654	545
30694	896	DivAnc	SC3	1	33	38	47	52	12
30790	423	DivAnc	SC3	1	382	1442	719	744	794
30845	445	DivAnc	SC3	1	2	0	1	0	0
30863	647	DivAnc	SC3	1	3	3	1	2	3
30890	986	DivAnc	SC3	1	38	32	36	31	19
30905	996	DivAnc	SC3	1	168	729	346	330	300
30944	526	DivAnc	SC3	1	302	1654	702	769	929
30968	935	DivAnc	SC3	1	398	1955	1009	1340	1503
30973	432	DivAnc	SC3	1	153	950	787	1400	1845
31001	680	DivAnc	SC3	1	127	558	156	226	155
31127	754	DivAnc	SC3	1	0	1	0	0	0
31210	339	DivAnc	SC3	1	186	1044	583	900	1043
31270	470	DivAnc	SC3	1	43	232	118	152	98
31303	600	DivAnc	SC3	1	2	1	1	1	0
31429	618	DivAnc	SC3	1	0	0	0	1	0
31465	362	DivAnc	SC3	1	864	3999	2366	3552	4310
31698	423	DivAnc	SC3	1	463	2036	1182	1398	1445
31753	506	DivAnc	SC3	1	133	848	298	435	343
31877	366	DivAnc	SC3	1	372	1643	861	1307	1377
31973	830	DivAnc	SC3	1	0	1	0	0	0
32006	780	DivAnc	SC3	1	3	4	0	3	2
32091	757	DivAnc	SC3	1	91	100	102	83	53
32137	756	DivAnc	SC3	1	44	48	52	55	24
32144	993	DivAnc	SC3	1	37	190	78	119	90
32280	618	DivAnc	SC3	1	57	329	187	167	208
32355	983	DivAnc	SC3	1	20	17	48	65	18
32370	772	DivAnc	SC3	1	23	20	28	22	13
32449	313	DivAnc	SC3	1	134	766	526	646	718
32489	705	DivAnc	SC3	1	127	614	268	289	241
32555	381	DivAnc	SC3	1	0	1	0	1	0
32680	970	DivAnc	SC3	1	1	1	0	0	41
32683	845	DivAnc	SC3	1	391	1591	882	1135	1550
32813	866	DivAnc	SC3	1	245	1499	627	887	965
32883	60	DivAnc	SC3	1	29	26	24	29	19
32927	1004	DivAnc	SC3	1	29	90	114	117	31
33016	248	DivAnc	SC3	1	118	494	142	194	197
33018	958	DivAnc	SC3	1	178	748	406	569	766
33178	639	DivAnc	SC3	1	184	1211	630	931	1008
33258	381	DivAnc	SC3	1	2	4	1	1	6
33401	534	DivAnc	SC3	1	134	669	363	450	602
33408	423	DivAnc	SC3	1	249	994	493	773	1074
33474	742	DivAnc	SC3	1	237	1281	672	953	1158
33513	938	DivAnc	SC3	1	2	4	1	0	0
33679	115	DivAnc	SC3	1	49	67	47	56	29
33720	804	DivAnc	SC3	1	2	0	1	2	1
33786	279	DivAnc	SC3	1	159	1130	450	652	614
33853	48	DivAnc	SC3	1	73	81	91	100	45
33895	564	DivAnc	SC3	1	53	70	71	64	38
33933	474	DivAnc	SC3	1	92	733	294	279	301
33950	733	DivAnc	SC3	1	1	1	0	0	0
34089	530	DivAnc	SC3	1	213	949	529	790	704
34098	639	DivAnc	SC3	1	199	1002	474	578	645
34146	768	DivAnc	SC3	1	112	636	435	503	430
34154	597	DivAnc	SC3	1	1	2	1	0	1
34189	381	DivAnc	SC3	1	115	106	102	116	50
34280	717	DivAnc	SC3	1	49	41	32	42	15
34290	600	DivAnc	SC3	1	4	2	0	1	2
34579	825	DivAnc	SC3	1	77	91	89	104	46
34764	408	DivAnc	SC3	1	5	5	2	3	1
34773	453	DivAnc	SC3	1	195	931	685	1013	1098
35249	807	DivAnc	SC3	1	1298	6294	3313	4699	5094
35293	423	DivAnc	SC3	1	467	1972	1390	1632	1780
35325	381	DivAnc	SC3	1	224	251	238	254	118
35440	423	DivAnc	SC3	1	1701	7055	4064	4998	5407
35479	9	DivAnc	SC3	1	65	74	64	86	39
35489	600	DivAnc	SC3	1	0	0	0	0	1
35496	815	DivAnc	SC3	1	69	81	82	86	44
35559	114	DivAnc	SC3	1	10	8	3	0	0
35647	423	DivAnc	SC3	1	244	1070	511	779	778
35649	853	DivAnc	SC3	1	297	1742	889	1253	1280
35701	757	DivAnc	SC3	1	240	1370	607	943	872
35730	20	DivAnc	SC3	1	286	1660	1108	1757	2347
35755	476	DivAnc	SC3	1	3	2	0	2	1
35846	618	DivAnc	SC3	1	0	0	0	1	0
35891	675	DivAnc	SC3	1	1	0	0	0	0
35902	423	DivAnc	SC3	1	228	1021	614	947	899
36027	717	DivAnc	SC3	1	101	63	69	79	46
36073	52	DivAnc	SC3	1	114	583	224	221	262
36077	47	DivAnc	SC3	1	4	0	1	3	1
36097	921	DivAnc	SC3	1	153	722	264	244	284
36170	836	DivAnc	SC3	1	4	2	2	1	1
36265	60	DivAnc	SC3	1	127	695	293	370	333
36312	83	DivAnc	SC3	1	1	4	0	2	2
36347	43	DivAnc	SC3	1	181	713	511	505	595
36681	690	DivAnc	SC3	1	0	0	4	0	1
36731	32	DivAnc	SC3	1	89	324	265	284	352
36760	311	DivAnc	SC3	1	322	1621	787	867	694
36813	865	DivAnc	SC3	1	4	50	27	22	16
36821	646	DivAnc	SC3	1	333	1652	780	1154	1331
36874	118	DivAnc	SC3	1	1	7	0	1	1
36926	125	DivAnc	SC3	1	167	724	264	329	398
36971	60	DivAnc	SC3	1	4	2	3	3	2
37095	887	DivAnc	SC3	1	0	3	0	1	1
37139	33	DivAnc	SC3	1	238	1073	475	623	593
37178	692	DivAnc	SC3	1	521	2994	1771	2485	3147
37198	964	DivAnc	SC3	1	242	1408	649	705	549
37245	231	DivAnc	SC3	1	5	1	0	5	0
37277	686	DivAnc	SC3	1	15	90	24	103	52
37291	138	DivAnc	SC3	1	337	1971	1140	1797	1757
37295	729	DivAnc	SC3	1	238	1453	599	848	993
37372	569	DivAnc	SC3	1	140	631	242	317	270
37373	866	DivAnc	SC3	1	302	1148	581	758	770
37449	132	DivAnc	SC3	1	0	1	0	0	1
37475	988	DivAnc	SC3	1	2	0	1	1	0
37891	20	DivAnc	SC3	1	161	994	483	656	778
37957	213	DivAnc	SC3	1	122	453	178	179	172
37959	729	DivAnc	SC3	1	178	742	322	295	258
37978	84	DivAnc	SC3	1	9	3	7	7	2
38213	3	DivAnc	SC3	1	796	4681	2824	4096	5532
38247	61	DivAnc	SC3	1	3	2	1	4	0
38253	311	DivAnc	SC3	1	96	589	243	363	470
38294	445	DivAnc	SC3	1	189	898	418	357	213
38295	7	DivAnc	SC3	1	245	791	478	616	570
38313	440	DivAnc	SC3	1	0	1	0	1	0
38407	998	DivAnc	SC3	1	22	16	20	23	13
38419	781	DivAnc	SC3	1	238	960	460	396	390
38423	475	DivAnc	SC3	1	166	524	258	206	227
38803	71	DivAnc	SC3	1	388	1460	872	1003	1223
38886	710	DivAnc	SC3	1	509	2197	991	1312	1240
39062	756	DivAnc	SC3	1	257	1574	804	1187	1261
39135	1009	DivAnc	SC3	1	93	829	414	499	580
39142	250	DivAnc	SC3	1	126	106	139	128	54
39439	756	DivAnc	SC3	1	1	4	3	5	5
39502	5	DivAnc	SC3	1	0	3	2	79	0
39586	809	DivAnc	SC3	1	142	715	285	323	314
39713	970	DivAnc	SC3	1	109	677	360	553	510
39727	704	DivAnc	SC3	1	69	182	54	30	25
39739	547	DivAnc	SC3	1	384	2061	1005	1630	1660
39807	866	DivAnc	SC3	1	0	1	1	5	1
39859	412	DivAnc	SC3	1	162	899	581	715	553
39936	817	DivAnc	SC3	1	2	0	0	1	0
40331	4	DivAnc	SC3	1	128	514	293	374	552
40412	524	DivAnc	SC3	1	0	0	0	1	0
40509	609	DivAnc	SC3	1	38	53	41	39	18
40730	803	DivAnc	SC3	1	0	0	0	1	0
40839	62	DivAnc	SC3	1	348	1720	1185	1738	1862
41148	856	DivAnc	SC3	1	2	1	0	0	1
41328	1001	DivAnc	SC3	1	33	22	35	31	26
41343	757	DivAnc	SC3	1	111	654	298	378	529
41414	440	DivAnc	SC3	1	2	2	0	0	0
41430	930	DivAnc	SC3	1	216	1116	663	1229	1387
41511	623	DivAnc	SC3	1	111	446	387	550	524
41524	639	DivAnc	SC3	1	4	1	3	4	0
41534	83	DivAnc	SC3	1	124	1355	862	1261	1451
41596	369	DivAnc	SC3	1	63	341	184	194	371
41772	393	DivAnc	SC3	1	53	112	26	24	17
41853	271	DivAnc	SC3	1	85	78	108	93	55
41917	277	DivAnc	SC3	1	0	4	0	2	0
42089	930	DivAnc	SC3	1	352	1394	823	965	1437
42203	859	DivAnc	SC3	1	397	3479	1852	3090	4618
42353	830	DivAnc	SC3	1	3	0	0	1	3
42378	549	DivAnc	SC3	1	3	34	9	10	6
42495	31	DivAnc	SC3	1	262	1787	1161	1603	2283
42526	266	DivAnc	SC3	1	323	1209	577	645	775
42574	7	DivAnc	SC3	1	350	1713	735	1025	1143
42578	113	DivAnc	SC3	1	0	0	0	2	0
42669	521	DivAnc	SC3	1	17	8	7	12	2
42699	476	DivAnc	SC3	1	2	0	1	1	1
42884	692	DivAnc	SC3	1	296	1075	748	1131	843
42897	1001	DivAnc	SC3	1	350	1626	681	846	934
42976	742	DivAnc	SC3	1	292	1577	833	1068	1324
43061	756	DivAnc	SC3	1	158	673	259	325	267
43235	1007	DivAnc	SC3	1	2	1	0	0	1
43342	924	DivAnc	SC3	1	567	3386	2178	3545	4354
43401	1001	DivAnc	SC3	1	2	2	1	0	1
43473	544	DivAnc	SC3	1	3	9	0	1	0
43606	132	DivAnc	SC3	1	19	18	14	14	7
43626	83	DivAnc	SC3	1	226	1259	765	1171	1090
43673	461	DivAnc	SC3	1	100	294	208	461	518
43709	979	DivAnc	SC3	1	231	1131	511	749	717
44012	40	DivAnc	SC3	1	344	1665	725	955	1083
44281	998	DivAnc	SC3	1	39	146	15	3	2
44290	512	DivAnc	SC3	1	0	1	2	2	0
44449	623	DivAnc	SC3	1	121	458	175	168	111
44620	804	DivAnc	SC3	1	1	1	0	0	0
44701	625	DivAnc	SC3	1	329	1809	951	1149	1095
44765	362	DivAnc	SC3	1	2	2	0	0	3
44808	691	DivAnc	SC3	1	253	1190	436	682	612
44854	596	DivAnc	SC3	1	106	556	251	415	350
45028	865	DivAnc	SC3	1	292	1318	716	845	820
45286	239	DivAnc	SC3	1	5	3	0	8	2
45375	60	DivAnc	SC3	1	86	332	246	382	320
45388	412	DivAnc	SC3	1	1	1	0	0	0
45444	874	DivAnc	SC3	1	129	469	297	344	282
45463	9	DivAnc	SC3	1	3	1	2	6	1
45718	239	DivAnc	SC3	1	202	657	285	489	524
45783	715	DivAnc	SC3	1	120	542	199	204	234
45804	241	DivAnc	SC3	1	0	1	0	0	0
45852	677	DivAnc	SC3	1	0	0	0	2	0
45879	375	DivAnc	SC3	1	56	52	50	55	32
45928	833	DivAnc	SC3	1	1	0	1	2	1
46109	202	DivAnc	SC3	1	134	173	129	144	62
46151	429	DivAnc	SC3	1	0	0	1	0	0
46166	684	DivAnc	SC3	1	311	1419	660	1146	1487
46294	252	DivAnc	SC3	1	0	0	2	1	1
46340	729	DivAnc	SC3	1	105	661	319	415	481
46473	547	DivAnc	SC3	1	293	1303	673	1002	914
46671	890	DivAnc	SC3	1	202	1274	828	1284	1127
46717	85	DivAnc	SC3	1	343	1413	597	722	780
46793	1014	DivAnc	SC3	1	111	395	135	102	40
46840	61	DivAnc	SC3	1	2	1	1	2	1
46870	1012	DivAnc	SC3	1	42	45	43	49	29
46942	348	DivAnc	SC3	1	1	0	0	1	2
47270	110	DivAnc	SC3	1	14	22	17	21	11
47275	887	DivAnc	SC3	1	94	85	118	105	51
47440	50	DivAnc	SC3	1	125	108	129	120	54
47522	423	DivAnc	SC3	1	517	2443	1284	1748	1904
47733	804	DivAnc	SC3	1	1	1	1	0	0
48000	865	DivAnc	SC3	1	1	1	0	0	0
48150	287	DivAnc	SC3	1	101	446	204	265	361
48164	1007	DivAnc	SC3	1	445	1816	928	1277	1312
48294	381	DivAnc	SC3	1	51	232	70	83	67
48310	804	DivAnc	SC3	1	0	1	0	0	0
48391	71	DivAnc	SC3	1	60	251	76	27	6
48439	391	DivAnc	SC3	1	3	3	0	4	5
48479	606	DivAnc	SC3	1	0	0	0	1	0
48514	846	DivAnc	SC3	1	158	671	360	407	329
48559	426	DivAnc	SC3	1	220	1191	670	1045	1342
48570	60	DivAnc	SC3	1	56	63	49	64	33
48580	886	DivAnc	SC3	1	4	1	2	1	1
48598	215	DivAnc	SC3	1	135	663	221	182	202
48622	347	DivAnc	SC3	1	0	3	0	0	0
48725	902	DivAnc	SC3	1	11	1	0	0	0
48938	804	DivAnc	SC3	1	1	3	2	1	1
48944	292	DivAnc	SC3	1	68	381	105	132	92
48981	104	DivAnc	SC3	1	141	762	312	423	618
49150	864	DivAnc	SC3	1	106	348	207	312	237
49222	72	DivAnc	SC3	1	61	367	160	127	137
49315	149	DivAnc	SC3	1	35	49	8	16	13
