"","BC_ID","Gen_0","Strain","Environment"
"331",5556,-5.73110908439,"DivAnc","1_SC3"
"332",5571,-5.73110908439,"DivAnc","1_SC3"
"333",5583,-5.25398782967,"DivAnc","1_SC3"
"334",5589,-5.73110908439,"DivAnc","1_SC3"
"335",5600,-3.73110908439,"DivAnc","1_SC3"
"336",5604,-5.73110908439,"DivAnc","1_SC3"
"337",5634,-5.25398782967,"DivAnc","1_SC3"
"338",5666,-5.73110908439,"DivAnc","1_SC3"
"339",5674,-3.43885301304,"DivAnc","1_SC3"
"340",5683,-5.43007908873,"DivAnc","1_SC3"
"341",5695,-3.16290736033,"DivAnc","1_SC3"
"342",5715,-3.43885301304,"DivAnc","1_SC3"
"343",5741,-4.03213908006,"DivAnc","1_SC3"
"344",5753,-3.1983547054,"DivAnc","1_SC3"
"345",5777,-4.50066016301,"DivAnc","1_SC3"
"346",5816,-3.7533854791,"DivAnc","1_SC3"
"347",5822,-5.73110908439,"DivAnc","1_SC3"
"348",5844,-3.74433735013,"DivAnc","1_SC3"
"349",5869,-3.31280779307,"DivAnc","1_SC3"
"350",5886,-5.43007908873,"DivAnc","1_SC3"
"351",5890,-5.12904909306,"DivAnc","1_SC3"
"352",5920,-3.08274907341,"DivAnc","1_SC3"
"353",5930,-3.02099171928,"DivAnc","1_SC3"
"354",5933,-4.43007908873,"DivAnc","1_SC3"
"355",5949,-5.43007908873,"DivAnc","1_SC3"
"356",5952,-5.73110908439,"DivAnc","1_SC3"
"357",5953,-5.43007908873,"DivAnc","1_SC3"
"358",5982,-3.19581496435,"DivAnc","1_SC3"
"359",6059,-5.43007908873,"DivAnc","1_SC3"
"360",6163,-5.73110908439,"DivAnc","1_SC3"
"361",6203,-5.73110908439,"DivAnc","1_SC3"
"362",6269,-3.99871532457,"DivAnc","1_SC3"
"363",6296,-3.9907463949,"DivAnc","1_SC3"
"364",6308,-5.73110908439,"DivAnc","1_SC3"
"365",6311,-3.87985073567,"DivAnc","1_SC3"
"366",6358,-4.12904909306,"DivAnc","1_SC3"
"367",6387,-4.00683321479,"DivAnc","1_SC3"
"368",6426,-2.91354371483,"DivAnc","1_SC3"
"369",6428,-3.61716573209,"DivAnc","1_SC3"
"370",6438,-4.05901122646,"DivAnc","1_SC3"
"371",6444,-3.11621186836,"DivAnc","1_SC3"
"372",6449,-4.28395105305,"DivAnc","1_SC3"
"373",6484,-5.73110908439,"DivAnc","1_SC3"
"374",6502,-3.49306298126,"DivAnc","1_SC3"
"375",6504,-3.27932264887,"DivAnc","1_SC3"
"376",6532,-5.73110908439,"DivAnc","1_SC3"
"377",6579,-3.62389911474,"DivAnc","1_SC3"
"378",6582,-2.40951065393,"DivAnc","1_SC3"
"379",6590,-3.23834869537,"DivAnc","1_SC3"
"380",6601,-5.73110908439,"DivAnc","1_SC3"
"381",6622,-3.33841213113,"DivAnc","1_SC3"
"382",6697,-5.73110908439,"DivAnc","1_SC3"
"383",6720,-5.73110908439,"DivAnc","1_SC3"
"384",6784,-5.73110908439,"DivAnc","1_SC3"
"385",6794,-3.0627231677,"DivAnc","1_SC3"
"386",6874,-5.73110908439,"DivAnc","1_SC3"
"387",6890,-2.73767285389,"DivAnc","1_SC3"
"388",6910,-5.73110908439,"DivAnc","1_SC3"
"389",6940,-5.73110908439,"DivAnc","1_SC3"
"390",7061,-4.8280190974,"DivAnc","1_SC3"
"391",7082,-5.12904909306,"DivAnc","1_SC3"
"392",7220,-5.43007908873,"DivAnc","1_SC3"
"393",7244,-4.36938124838,"DivAnc","1_SC3"
"394",7257,-4.29974532023,"DivAnc","1_SC3"
"395",7291,-3.08080156126,"DivAnc","1_SC3"
"396",7297,-5.73110908439,"DivAnc","1_SC3"
"397",7311,-4.05901122646,"DivAnc","1_SC3"
"398",7329,-2.97219719199,"DivAnc","1_SC3"
"399",7347,-3.16644302014,"DivAnc","1_SC3"
"400",7364,-4.17480658363,"DivAnc","1_SC3"
"401",7376,-5.73110908439,"DivAnc","1_SC3"
"402",7397,-4.95295783401,"DivAnc","1_SC3"
"403",7436,-5.73110908439,"DivAnc","1_SC3"
"404",7466,-4.31613573642,"DivAnc","1_SC3"
"405",7481,-3.58498104871,"DivAnc","1_SC3"
"406",7503,-3.16056614451,"DivAnc","1_SC3"
"407",7518,-5.43007908873,"DivAnc","1_SC3"
"408",7533,-3.48313581803,"DivAnc","1_SC3"
"409",7537,-3.30622744776,"DivAnc","1_SC3"
"410",7552,-5.73110908439,"DivAnc","1_SC3"
"411",7578,-5.43007908873,"DivAnc","1_SC3"
"412",7616,-5.73110908439,"DivAnc","1_SC3"
"413",7620,-3.13122601232,"DivAnc","1_SC3"
"414",7630,-2.99871532457,"DivAnc","1_SC3"
"415",7649,-5.12904909306,"DivAnc","1_SC3"
"416",7713,-5.73110908439,"DivAnc","1_SC3"
"417",7754,-5.73110908439,"DivAnc","1_SC3"
"418",7773,-3.39464935054,"DivAnc","1_SC3"
"419",7823,-5.43007908873,"DivAnc","1_SC3"
"420",7890,-3.82262406551,"DivAnc","1_SC3"
"421",7966,-4.95295783401,"DivAnc","1_SC3"
"422",7993,-5.43007908873,"DivAnc","1_SC3"
"423",8069,-4.45235548344,"DivAnc","1_SC3"
"424",8075,-3.43444389413,"DivAnc","1_SC3"
