STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	10395	623	1_SC3	291	1504	773	1510	1144
DivAnc	81962	700	1_SC3	425	2727	1384	2630	1959
DivAnc	49312	885	1_SC3	1	1	5	4	6
DivAnc	46870	1012	1_SC3	42	221	84	141	105
DivAnc	9620	205	1_SC3	81	480	197	316	320
DivAnc	37786	209	1_SC3	10	77	26	79	13
DivAnc	49315	149	1_SC3	51	289	148	347	206
DivAnc	45783	715	1_SC3	193	1095	591	989	848
DivAnc	16251	173	1_SC3	1	9	12	63	80
DivAnc	99	810	1_SC3	1	0	0	0	0
DivAnc	63874	768	1_SC3	2	7	5	0	0
DivAnc	320516	517	1_SC3	113	595	248	673	595
DivAnc	1603	85	1_SC3	1	0	0	0	0
DivAnc	2691	202	1_SC3	190	1030	562	1162	885
DivAnc	25449	1002	1_SC3	1	0	0	0	0
DivAnc	15708	807	1_SC3	4	35	14	6	0
DivAnc	15709	279	1_SC3	23	104	40	61	41
DivAnc	54980	935	1_SC3	75	391	182	333	138
DivAnc	137077	34	1_SC3	388	2136	1139	2149	1906
DivAnc	179621	412	1_SC3	1	22	10	11	20
DivAnc	53509	993	1_SC3	267	1549	802	1513	1021
DivAnc	216496	461	1_SC3	2	0	0	0	0
DivAnc	265815	800	1_SC3	1	0	0	0	0
DivAnc	319376	431	1_SC3	1	0	2	0	0
DivAnc	302744	258	1_SC3	5	22	12	34	28
DivAnc	3231	423	1_SC3	1833	10444	5567	10437	8177
DivAnc	131829	845	1_SC3	566	3409	1648	3485	2655
DivAnc	1618	639	1_SC3	419	2449	1201	2363	1845
DivAnc	1965	846	1_SC3	5	21	18	17	19
DivAnc	268602	414	1_SC3	1	8	0	0	0
DivAnc	7329	48	1_SC3	574	3396	1671	3276	2601
DivAnc	168852	625	1_SC3	1	0	0	0	0
DivAnc	210433	423	1_SC3	352	1992	1016	1992	1389
DivAnc	8840	195	1_SC3	406	2730	1271	2786	2151
DivAnc	147993	423	1_SC3	1	10	5	8	0
DivAnc	41596	369	1_SC3	83	543	228	369	293
DivAnc	41772	393	1_SC3	76	438	140	263	155
DivAnc	12957	864	1_SC3	541	3172	1555	2880	2359
DivAnc	68904	1009	1_SC3	2	0	0	0	0
DivAnc	70906	431	1_SC3	1	7	0	0	0
DivAnc	20261	157	1_SC3	18	110	109	215	116
DivAnc	168691	205	1_SC3	74	462	249	471	377
DivAnc	302243	800	1_SC3	371	2316	1166	2268	1777
DivAnc	3358	912	1_SC3	167	925	505	944	738
DivAnc	58683	88	1_SC3	167	1004	402	817	630
DivAnc	7061	975	1_SC3	8	37	15	38	60
DivAnc	29778	766	1_SC3	474	3045	1648	3357	2924
DivAnc	169616	732	1_SC3	234	1364	660	1278	945
DivAnc	29596	326	1_SC3	78	373	191	393	286
DivAnc	1143	71	1_SC3	363	1884	1058	2078	1597
DivAnc	233931	118	1_SC3	1	0	0	0	0
DivAnc	12487	519	1_SC3	1	0	0	0	0
DivAnc	12485	423	1_SC3	1393	8239	4058	8441	6656
DivAnc	231479	745	1_SC3	100	543	340	700	610
DivAnc	253044	969	1_SC3	2	17	11	29	13
