BC_ID BC_Counts Mut_ID
57698 1 853
154305 1144 434
135633 4687 638
21078 1991 639
4564 1 224
185604 1508 309
142556 1 731
32144 349 993
6311 76 449
168767 1 892
45422 1 206
17365 4 915
85258 1237 392
17361 1 205
86290 48 1001
2391 2936 983
121837 2677 83
11478 21 814
220492 477 836
20611 4 1002
80197 1 519
5015 2999 350
26054 1 19
62913 2876 118
125114 4 32
27939 1568 461
49618 27 846
25202 4582 261
9490 2238 227
49612 819 423
17143 900 186
85034 2945 954
1852 502 570
6269 61 898
17093 2 780
17090 80 846
2174 711 984
2175 976 453
80998 1 377
41430 1818 930
123505 1 347
21456 564 75
10785 3142 819
39727 310 704
10037 2349 646
121014 1094 118
91955 1 535
71314 2277 1004
22987 1146 237
849 663 996
134101 580 34
20581 1 209
80466 1 426
41328 22 1001
103379 673 256
102203 2188 925
133450 3 132
41057 2 308
27593 1 757
84504 1040 185
9035 1 310
59766 1337 423
10256 2377 1012
107483 2901 234
37245 1 231
186079 1 886
186070 22 536
68660 1 614
164491 1 46
13120 1683 109
41183 1 252
176378 214 91
34280 41 717
29894 4 431
