STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	19530	245	1_SC3	223	1142	604	1238	1139
DivAnc	96752	674	1_SC3	1	11	6	12	0
DivAnc	21038	657	1_SC3	410	2336	1062	2067	1635
DivAnc	62396	651	1_SC3	1	0	0	0	0
DivAnc	18403	202	1_SC3	1	32	14	21	5
DivAnc	12189	705	1_SC3	137	648	362	554	420
DivAnc	17090	846	1_SC3	68	470	218	466	329
DivAnc	10731	745	1_SC3	1	9	0	0	0
DivAnc	141186	175	1_SC3	1	5	0	0	0
DivAnc	57767	807	1_SC3	1	0	0	0	0
DivAnc	12747	534	1_SC3	77	444	221	609	430
DivAnc	198918	975	1_SC3	1	15	4	7	0
DivAnc	153647	526	1_SC3	1	0	0	0	0
DivAnc	11439	974	1_SC3	1	5	1	4	3
DivAnc	19997	906	1_SC3	8	50	4	2	4
DivAnc	277552	343	1_SC3	1	0	0	0	0
DivAnc	97578	329	1_SC3	708	4164	2350	4730	3865
DivAnc	49656	391	1_SC3	3	35	15	32	15
DivAnc	74365	639	1_SC3	2	6	5	9	0
DivAnc	35473	894	1_SC3	1	7	16	33	24
DivAnc	143165	440	1_SC3	1	29	29	63	59
DivAnc	17697	186	1_SC3	77	396	176	260	129
DivAnc	1895	153	1_SC3	42	232	150	226	266
DivAnc	21146	768	1_SC3	442	2569	1348	2982	2282
DivAnc	16456	883	1_SC3	1	12	0	0	0
DivAnc	218104	596	1_SC3	3	20	6	40	43
DivAnc	113008	841	1_SC3	21	111	79	85	71
DivAnc	105683	138	1_SC3	237	1263	538	926	721
DivAnc	293429	125	1_SC3	169	1028	465	953	672
DivAnc	81849	181	1_SC3	1	5	0	0	0
DivAnc	116219	899	1_SC3	3	2	13	33	56
DivAnc	20144	423	1_SC3	109	665	407	794	583
DivAnc	244711	135	1_SC3	1	7	3	3	8
DivAnc	84094	587	1_SC3	1	0	0	0	0
DivAnc	166976	149	1_SC3	96	526	306	495	353
DivAnc	22941	148	1_SC3	49	223	96	186	115
DivAnc	84769	296	1_SC3	332	1781	871	1870	1444
DivAnc	2735	733	1_SC3	1	2	5	0	0
DivAnc	85140	657	1_SC3	375	2058	956	2035	1507
DivAnc	314056	926	1_SC3	3	16	0	11	47
DivAnc	74472	589	1_SC3	1	5	5	17	3
DivAnc	3424	520	1_SC3	647	3804	1933	4036	3154
DivAnc	12167	780	1_SC3	1	0	0	0	0
DivAnc	61090	2	1_SC3	2	4	7	19	33
DivAnc	4857	19	1_SC3	1	15	0	0	0
DivAnc	4856	846	1_SC3	173	1061	577	1255	860
DivAnc	102489	1004	1_SC3	21	134	68	83	66
DivAnc	84822	459	1_SC3	146	634	427	800	595
DivAnc	162705	265	1_SC3	358	1903	1063	2442	1848
DivAnc	45028	865	1_SC3	439	2543	1258	2116	1638
DivAnc	44281	998	1_SC3	58	459	210	391	296
DivAnc	53486	377	1_SC3	1	6	3	0	0
DivAnc	10291	279	1_SC3	432	2508	1303	2548	2116
DivAnc	58638	423	1_SC3	8	37	14	0	0
DivAnc	48294	381	1_SC3	71	318	179	264	181
DivAnc	63392	757	1_SC3	487	2846	1319	2680	2166
DivAnc	2996	534	1_SC3	1	0	0	0	0
DivAnc	11985	1000	1_SC3	4	13	16	20	3
DivAnc	157521	461	1_SC3	1	0	0	0	0
