BC ID	MUT ID	STRAIN	ENV	DAY	T0	T1	T2	T3	T4
810	237	DivAnc	SC3	1	6	0	0	0	0
849	996	DivAnc	SC3	1	93	385	152	259	284
883	209	DivAnc	SC3	1	238	1417	713	887	1204
884	958	DivAnc	SC3	1	209	1272	915	1586	1475
935	983	DivAnc	SC3	1	0	1	0	0	0
947	292	DivAnc	SC3	1	19	166	100	66	64
960	620	DivAnc	SC3	1	256	1227	630	656	659
977	985	DivAnc	SC3	1	179	844	325	530	663
990	710	DivAnc	SC3	1	3	0	0	0	0
1003	518	DivAnc	SC3	1	2	4	2	1	1
1010	461	DivAnc	SC3	1	4	0	1	2	0
1040	711	DivAnc	SC3	1	73	387	282	422	551
1045	500	DivAnc	SC3	1	116	775	376	397	339
1066	732	DivAnc	SC3	1	2	2	1	2	2
1068	449	DivAnc	SC3	1	100	111	119	132	52
1078	241	DivAnc	SC3	1	0	1	0	0	0
1082	534	DivAnc	SC3	1	17	43	14	14	31
1095	287	DivAnc	SC3	1	208	1308	617	931	844
1102	33	DivAnc	SC3	1	176	819	352	451	373
1132	252	DivAnc	SC3	1	409	2131	1149	1685	1567
1143	71	DivAnc	SC3	1	241	1214	459	769	925
1175	97	DivAnc	SC3	1	9	12	7	11	1
1189	981	DivAnc	SC3	1	373	1896	966	1513	1654
1249	1012	DivAnc	SC3	1	93	465	164	122	248
1287	546	DivAnc	SC3	1	0	5	1	4	3
1306	572	DivAnc	SC3	1	4	2	6	4	2
1326	295	DivAnc	SC3	1	224	731	460	813	675
1330	650	DivAnc	SC3	1	53	51	63	69	29
1395	52	DivAnc	SC3	1	24	192	43	50	149
1418	750	DivAnc	SC3	1	67	91	113	98	49
1423	546	DivAnc	SC3	1	3	5	2	2	1
1447	988	DivAnc	SC3	1	3	2	0	2	3
1481	804	DivAnc	SC3	1	43	281	146	140	149
1510	163	DivAnc	SC3	1	247	1189	604	897	797
1515	248	DivAnc	SC3	1	305	1390	665	943	874
1539	780	DivAnc	SC3	1	669	2522	1217	1534	1345
1603	85	DivAnc	SC3	1	1	0	1	1	0
1618	639	DivAnc	SC3	1	294	1566	864	1369	1481
1627	192	DivAnc	SC3	1	91	319	107	77	38
1633	460	DivAnc	SC3	1	59	348	169	274	301
1639	755	DivAnc	SC3	1	2	0	0	0	1
1648	804	DivAnc	SC3	1	240	1326	760	1076	1268
1701	211	DivAnc	SC3	1	1	0	0	1	0
1756	769	DivAnc	SC3	1	70	372	180	265	295
1815	962	DivAnc	SC3	1	232	1333	673	878	765
1829	570	DivAnc	SC3	1	97	417	173	293	264
1852	570	DivAnc	SC3	1	96	322	290	429	277
1895	153	DivAnc	SC3	1	42	39	41	31	19
1926	544	DivAnc	SC3	1	4	0	0	1	0
1927	993	DivAnc	SC3	1	106	116	107	108	63
1986	133	DivAnc	SC3	1	205	919	287	403	303
2033	47	DivAnc	SC3	1	378	1935	1172	1420	1524
2068	376	DivAnc	SC3	1	79	106	117	91	36
2100	892	DivAnc	SC3	1	215	856	429	643	656
2117	866	DivAnc	SC3	1	3	1	1	2	4
2155	573	DivAnc	SC3	1	47	68	80	55	31
2157	423	DivAnc	SC3	1	1341	6289	3378	4456	5414
2170	423	DivAnc	SC3	1	1145	4771	2771	3553	3765
